el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
C,1,,,1128.17,,,2s2.2p2,3P,0,1,2s2.2p.7d,1P*,1,3,,1.83e+06,1.05e-03,3.88e-03,-2.980,C+,,T7333,,006001.000001,006001.000173,301195
C,1,,,1128.25,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,0,1,,1.55e+07,9.88e-04,1.10e-02,-2.528,B,,T7333,,006001.000006,006001.000176,301190
C,1,,,1128.28,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,1,3,,4.96e+06,9.47e-04,1.06e-02,-2.547,C+,,T7333,,006001.000006,006001.000175,301188
C,1,,,1128.38,,,2s2.2p2,3P,1,3,2s2.2p.7d,1P*,1,3,,9.6e+05,1.83e-04,2.04e-03,-3.261,C,,T7333,,006001.000006,006001.000173,301194
C,1,,,1128.41,,,2s2.2p2,3P,1,3,2s2.2p.7d,3P*,2,5,,7.3e+04,2.3e-05,2.6e-04,-4.16,D,,T7333,,006001.000006,006001.000171,301191
C,1,,,1128.48,,,2s2.2p2,3P,0,1,2s2.2p.8s,1P*,1,3,,6.0e+05,3.42e-04,1.27e-03,-3.467,C,,T7333,,006001.000001,006001.000167,301185
C,1,,,1128.63,,,2s2.2p2,3P,2,5,2s2.2p.7d,3P*,1,3,,5.80e+06,6.65e-04,1.24e-02,-2.478,C+,,T7333,,006001.000007,006001.000175,301189
C,1,,,1128.69,,,2s2.2p2,3P,1,3,2s2.2p.8s,1P*,1,3,,4.79e+06,9.15e-04,1.02e-02,-2.562,C+,,T7333,,006001.000006,006001.000167,301184
C,1,,,1128.72,,,2s2.2p2,3P,2,5,2s2.2p.7d,1P*,1,3,,2.4e+04,2.7e-06,5.1e-05,-4.86,D,,T7333,,006001.000007,006001.000173,301193
C,1,,,1128.75,,,2s2.2p2,3P,2,5,2s2.2p.7d,3P*,2,5,,1.02e+07,1.94e-03,3.61e-02,-2.013,B,,T7333,,006001.000007,006001.000171,301187
C,1,,,1128.817,,,2s2.2p2,3P,1,3,2s2.2p.7d,3D*,2,5,,1.61e+07,5.12e-03,5.70e-02,-1.814,B,,T7333,,006001.000006,006001.000165,33829
C,1,,,1128.90,,,2s2.2p2,3P,2,5,2s2.2p.7d,1F*,3,7,,3.98e+06,1.06e-03,1.98e-02,-2.274,C,,T7333,,006001.000007,006001.000168,301186
C,1,,,1129.03,,,2s2.2p2,3P,2,5,2s2.2p.8s,1P*,1,3,,1.82e+06,2.08e-04,3.87e-03,-2.982,C+,,T7333,,006001.000007,006001.000167,301183
C,1,,,1129.08,,,2s2.2p2,3P,1,3,2s2.2p.8s,3P*,2,5,,9.9e+05,3.16e-04,3.52e-03,-3.024,C,,T7333,,006001.000006,006001.000163,301181
C,1,,,1129.135,,,2s2.2p2,3P,2,5,2s2.2p.7d,3D*,3,7,,1.70e+07,4.56e-03,8.47e-02,-1.642,B,,T7333,,006001.000007,006001.000166,33828
C,1,,,1129.161,,,2s2.2p2,3P,2,5,2s2.2p.7d,3D*,2,5,,4.97e+05,9.5e-05,1.77e-03,-3.323,C,,T7333,,006001.000007,006001.000165,33831
C,1,,,1129.196,,,2s2.2p2,3P,0,1,2s2.2p.7d,3D*,1,3,,1.35e+07,7.72e-03,2.87e-02,-2.113,B,,T7333,,006001.000001,006001.000161,33830
C,1,,,1129.32,,,2s2.2p2,3P,0,1,2s2.2p.8s,3P*,1,3,,3.46e+06,1.99e-03,7.38e-03,-2.702,C+,,T7333,,006001.000001,006001.000160,301182
C,1,,,1129.405,,,2s2.2p2,3P,1,3,2s2.2p.7d,3D*,1,3,,4.86e+06,9.30e-04,1.04e-02,-2.554,C+,,T7333,,006001.000006,006001.000161,33832
C,1,,,1129.42,,,2s2.2p2,3P,2,5,2s2.2p.8s,3P*,2,5,,1.19e+07,2.29e-03,4.25e-02,-1.942,B,,T7333,,006001.000007,006001.000163,301177
C,1,,,1129.53,,,2s2.2p2,3P,1,3,2s2.2p.8s,3P*,1,3,,7.2e+05,1.38e-04,1.54e-03,-3.382,C,,T7333,,006001.000006,006001.000160,301178
C,1,,,1129.59,,,2s2.2p2,3P,1,3,2s2.2p.8s,3P*,0,1,,6.41e+06,4.09e-04,4.56e-03,-2.911,C+,,T7333,,006001.000006,006001.000158,301180
C,1,,,1129.62,,,2s2.2p2,3P,1,3,2s2.2p.7d,3F*,2,5,,7.29e+06,2.32e-03,2.59e-02,-2.157,C+,,T7333,,006001.000006,006001.000157,301175
C,1,,,1129.749,,,2s2.2p2,3P,2,5,2s2.2p.7d,3D*,1,3,,4.8e+03,5.5e-07,1.0e-05,-5.56,D,,T7333,,006001.000007,006001.000161,33833
C,1,,,1129.87,,,2s2.2p2,3P,2,5,2s2.2p.8s,3P*,1,3,,2.22e+06,2.55e-04,4.75e-03,-2.894,C+,,T7333,,006001.000007,006001.000160,301179
C,1,,,1129.92,,,2s2.2p2,3P,2,5,2s2.2p.7d,3F*,3,7,,4.84e+06,1.30e-03,2.41e-02,-2.188,C+,,T7333,,006001.000007,006001.000159,301174
C,1,,,1129.97,,,2s2.2p2,3P,2,5,2s2.2p.7d,3F*,2,5,,4.7e+04,9.0e-06,1.7e-04,-4.35,D,,T7333,,006001.000007,006001.000157,301176
C,1,,,1130.17,,,2s2.2p2,3P,1,3,2s2.2p.7d,1D*,2,5,,4.77e+05,1.52e-04,1.70e-03,-3.341,C,,T7333,,006001.000006,006001.000156,301173
C,1,,,1130.52,,,2s2.2p2,3P,2,5,2s2.2p.7d,1D*,2,5,,3.04e+05,5.8e-05,1.08e-03,-3.54,C,,T7333,,006001.000007,006001.000156,301172
C,1,,,1138.383,,,2s2.2p2,3P,0,1,2s2.2p.6d,3P*,1,3,,4.13e+06,2.41e-03,9.03e-03,-2.618,C+,,T7333,,006001.000001,006001.000145,33827
C,1,,,1138.557,,,2s2.2p2,3P,1,3,2s2.2p.6d,3P*,0,1,,2.31e+07,1.50e-03,1.68e-02,-2.348,B,,T7333,,006001.000006,006001.000146,33825
C,1,,,1138.56,,,2s2.2p2,3P,0,1,2s2.2p.6d,1P*,1,3,,1.70e+06,9.92e-04,3.72e-03,-3.003,C+,,T7333,,006001.000001,006001.000141,301171
C,1,,,1138.595,,,2s2.2p2,3P,1,3,2s2.2p.6d,3P*,1,3,,7.31e+06,1.42e-03,1.60e-02,-2.371,C+,,T7333,,006001.000006,006001.000145,33823
C,1,,,1138.743,,,2s2.2p2,3P,1,3,2s2.2p.6d,3P*,2,5,,1.86e+05,6.0e-05,6.8e-04,-3.74,C,,T7333,,006001.000006,006001.000142,33826
C,1,,,1138.77,,,2s2.2p2,3P,1,3,2s2.2p.6d,1P*,1,3,,9.9e+05,1.93e-04,2.17e-03,-3.238,C,,T7333,,006001.000006,006001.000141,301170
C,1,,,1138.946,,,2s2.2p2,3P,2,5,2s2.2p.6d,3P*,1,3,,8.98e+06,1.05e-03,1.96e-02,-2.281,C+,,T7333,,006001.000007,006001.000145,33824
C,1,,,1139.09,,,2s2.2p2,3P,0,1,2s2.2p.7s,1P*,1,3,,9.3e+05,5.4e-04,2.04e-03,-3.265,C,,T7333,,006001.000001,006001.000137,301167
C,1,,,1139.093,,,2s2.2p2,3P,2,5,2s2.2p.6d,3P*,2,5,,1.60e+07,3.11e-03,5.84e-02,-1.808,B,,T7333,,006001.000007,006001.000142,33822
C,1,,,1139.12,,,2s2.2p2,3P,2,5,2s2.2p.6d,1P*,1,3,,3.6e+04,4.2e-06,7.8e-05,-4.68,D,,T7333,,006001.000007,006001.000141,301169
C,1,,,1139.30,,,2s2.2p2,3P,1,3,2s2.2p.7s,1P*,1,3,,6.24e+06,1.22e-03,1.37e-02,-2.438,C+,,T7333,,006001.000006,006001.000137,301166
C,1,,,1139.43,,,2s2.2p2,3P,2,5,2s2.2p.6d,1F*,3,7,,4.31e+06,1.18e-03,2.20e-02,-2.231,C+,,T7333,,006001.000007,006001.000138,301168
C,1,,,1139.514,,,2s2.2p2,3P,1,3,2s2.2p.6d,3D*,2,5,,2.72e+07,8.82e-03,9.93e-02,-1.577,B,,T7333,,006001.000006,006001.000135,33817
C,1,,,1139.65,,,2s2.2p2,3P,2,5,2s2.2p.7s,1P*,1,3,,2.26e+06,2.64e-04,4.95e-03,-2.880,C+,,T7333,,006001.000007,006001.000137,301165
C,1,,,1139.766,,,2s2.2p2,3P,1,3,2s2.2p.7s,3P*,2,5,,4.63e+06,1.50e-03,1.69e-02,-2.346,C+,,T7333,,006001.000006,006001.000131,33814
C,1,,,1139.792,,,2s2.2p2,3P,0,1,2s2.2p.6d,3D*,1,3,,2.11e+07,1.23e-02,4.62e-02,-1.910,B,,T7333,,006001.000001,006001.000130,33818
C,1,,,1139.812,,,2s2.2p2,3P,2,5,2s2.2p.6d,3D*,3,7,,2.96e+07,8.07e-03,1.51e-01,-1.394,B,,T7333,,006001.000007,006001.000136,33816
C,1,,,1139.865,,,2s2.2p2,3P,2,5,2s2.2p.6d,3D*,2,5,,1.30e+06,2.53e-04,4.74e-03,-2.898,C+,,T7333,,006001.000007,006001.000135,33819
C,1,,,1140.005,,,2s2.2p2,3P,1,3,2s2.2p.6d,3D*,1,3,,9.45e+06,1.84e-03,2.07e-02,-2.258,C+,,T7333,,006001.000006,006001.000130,33820
C,1,,,1140.010,,,2s2.2p2,3P,0,1,2s2.2p.7s,3P*,1,3,,6.10e+06,3.57e-03,1.34e-02,-2.448,C+,,T7333,,006001.000001,006001.000129,33815
C,1,,,1140.117,,,2s2.2p2,3P,2,5,2s2.2p.7s,3P*,2,5,,1.84e+07,3.59e-03,6.73e-02,-1.746,B,,T7333,,006001.000007,006001.000131,33810
C,1,,,1140.223,,,2s2.2p2,3P,1,3,2s2.2p.7s,3P*,1,3,,1.47e+06,2.86e-04,3.22e-03,-3.066,C+,,T7333,,006001.000006,006001.000129,33811
C,1,,,1140.316,,,2s2.2p2,3P,1,3,2s2.2p.7s,3P*,0,1,,1.15e+07,7.48e-04,8.42e-03,-2.649,B,,T7333,,006001.000006,006001.000127,33813
C,1,,,1140.356,,,2s2.2p2,3P,2,5,2s2.2p.6d,3D*,1,3,,1.09e+05,1.28e-05,2.40e-04,-4.194,C,,T7333,,006001.000007,006001.000130,33821
C,1,,,1140.36,,,2s2.2p2,3P,1,3,2s2.2p.6d,3F*,2,5,,6.39e+06,2.08e-03,2.34e-02,-2.206,C+,,T7333,,006001.000006,006001.000126,301163
C,1,,,1140.574,,,2s2.2p2,3P,2,5,2s2.2p.7s,3P*,1,3,,4.17e+06,4.88e-04,9.17e-03,-2.612,C+,,T7333,,006001.000007,006001.000129,33812
