el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
N,2,,,525.983,,,2s2.2p2,3P,0,1,2s2.2p.3d,1P*,1,3,,3.94e+06,4.90e-04,8.48e-04,-3.310,B+,,T7333,,007002.000001,007002.000055,38011
N,2,,,526.118,,,2s2.2p2,3P,1,3,2s2.2p.3d,1P*,1,3,,8.74e+04,3.63e-06,1.88e-05,-4.963,B+,,T7333,,007002.000016,007002.000055,302011
N,2,,,526.345,,,2s2.2p2,3P,2,5,2s2.2p.3d,1P*,1,3,,5.91e+05,1.47e-05,1.28e-04,-4.133,B+,,T7333,,007002.000017,007002.000055,302010
N,2,,,528.529,,,2s2.2p2,3P,2,5,2s2.2p.3d,1F*,3,7,,1.86e+06,1.09e-04,9.47e-04,-3.264,B,,T7333,,007002.000017,007002.000054,38010
N,2,,,529.355,,,2s2.2p2,3P,0,1,2s2.2p.3d,3P*,1,3,,7.17e+08,9.04e-02,1.58e-01,-1.044,B+,,T7333,,007002.000001,007002.000052,38009
N,2,,,529.413,,,2s2.2p2,3P,1,3,2s2.2p.3d,3P*,0,1,,2.44e+09,3.42e-02,1.79e-01,-0.989,B+,,T7333,,007002.000016,007002.000053,38007
N,2,,,529.491,,,2s2.2p2,3P,1,3,2s2.2p.3d,3P*,1,3,,6.86e+08,2.88e-02,1.51e-01,-1.063,B+,,T7333,,007002.000016,007002.000052,38005
N,2,,,529.637,,,2s2.2p2,3P,1,3,2s2.2p.3d,3P*,2,5,,4.83e+08,3.39e-02,1.77e-01,-0.993,B+,,T7333,,007002.000016,007002.000051,38008
N,2,,,529.722,,,2s2.2p2,3P,2,5,2s2.2p.3d,3P*,1,3,,1.04e+09,2.63e-02,2.29e-01,-0.882,B+,,T7333,,007002.000017,007002.000052,38006
N,2,,,529.867,,,2s2.2p2,3P,2,5,2s2.2p.3d,3P*,2,5,,1.96e+09,8.24e-02,7.19e-01,-0.385,B+,,T7333,,007002.000017,007002.000051,38004
N,2,,,530.343,,,2s2.2p2,1S,0,1,2s2.2p.5d,1P*,1,3,,6.12e+08,7.74e-02,1.35e-01,-1.111,B,,T5520,,007002.000019,007002.000121,38070
N,2,,,533.511,,,2s2.2p2,3P,0,1,2s2.2p.3d,3D*,1,3,,2.46e+09,3.15e-01,5.53e-01,-0.502,B+,,T7333,,007002.000001,007002.000048,38000
