el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
C,1,2s2.2p.4d,1F*,o,3,83947.43,,,,,,,,,,,006001.000072,68
C,1,2s2.2p.(2P*<3/2>).4f,2[7/2],e,3,83986.22,,,,,,,,,,,006001.000073,69
C,1,2s2.2p.(2P*<3/2>).4f,2[7/2],e,4,83986.45,,,,,,,,,,,006001.000074,70
C,1,2s2.2p.(2P*<3/2>).4f,2[5/2],e,3,84013.25,,,,,,,,,,,006001.000075,71
C,1,2s2.2p.(2P*<3/2>).4f,2[5/2],e,2,84013.40,,,,,,,,,,,006001.000076,72
C,1,2s2.2p.(2P*<3/2>).4f,2[9/2],e,5,84015.86,,,,,,,,,,,006001.000077,73
C,1,2s2.2p.(2P*<3/2>).4f,2[9/2],e,4,84016.25,,,,,,,,,,,006001.000078,74
C,1,2s2.2p.4d,1P*,o,1,84032.15,,,,,,,,,,,006001.000079,75
C,1,2s2.2p.(2P*<3/2>).4f,2[3/2],e,1,84036.29,,,,,,,,,,,006001.000080,76
C,1,2s2.2p.(2P*<3/2>).4f,2[3/2],e,2,84036.40,,,,,,,,,,,006001.000081,77
C,1,2s2.2p.4d,3P*,o,2,84103.10,,,,,,,,,,,006001.000082,78
C,1,2s2.2p.4d,3P*,o,1,84116.09,,,,,,,,,,,006001.000083,79
C,1,2s2.2p.4d,3P*,o,0,84121.22,,,,,,,,,,,006001.000084,80
C,1,2s2.2p.5p,1P,e,1,84851.53,,,,,,,,,,,006001.000085,81
C,1,2s2.2p.5p,3D,e,1,84935.34,,,,,,,,,,,006001.000086,82
C,1,2s2.2p.5p,3D,e,2,84950.36,,,,,,,,,,,006001.000087,83
C,1,2s2.2p.5p,3D,e,3,84984.97,,,,,,,,,,,006001.000088,84
C,1,2s2.2p.5p,3P,e,0,85169.61,,,,,,,,,,,006001.000089,85
C,1,2s2.2p.5p,3P,e,1,85188.95,,,,,,,,,,,006001.000090,86
C,1,2s2.2p.5p,3P,e,2,85203.64,,,,,,,,,,,006001.000091,87
C,1,2s2.2p.5p,1D,e,2,85399.81,,,,,,,,,,,006001.000092,88
C,1,2s2.2p.5p,1S,e,0,85625.18,,,,,,,,,,,006001.000093,89
C,1,2s2.2p.5d,1D*,o,2,86185.20,,,,,,,,,,,006001.000094,90
C,1,2s2.2p.5d,3F*,o,2,86317.64,,,,,,,,,,,006001.000095,91
C,1,2s2.2p.6s,3P*,o,0,86321.94,,,,,,,,,,,006001.000096,94
C,1,2s2.2p.5d,3F*,o,3,86327.16,,,,,,,,,,,006001.000097,92
C,1,2s2.2p.6s,3P*,o,1,86331.63,,,,,,,,,,,006001.000098,95
C,1,2s2.2p.5d,3D*,o,1,86362.52,,,,,,,,,,,006001.000099,97
C,1,2s2.2p.5d,3F*,o,4,86369.47,,,,,,,,,,,006001.000100,93
C,1,2s2.2p.6s,3P*,o,2,86369.60,,,,,,,,,,,006001.000101,96
C,1,2s2.2p.5d,3D*,o,2,86389.38,,,,,,,,,,,006001.000102,98
C,1,2s2.2p.5d,3D*,o,3,86397.80,,,,,,,,,,,006001.000103,99
C,1,2s2.2p.6s,1P*,o,1,86416.55,,,,,,,,,,,006001.000104,100
C,1,2s2.2p.5d,1F*,o,3,86449.19,,,,,,,,,,,006001.000105,101
C,1,2s2.2p.(2P*<3/2>).5f,2[7/2],e,3,86469.51,,,,,,,,,,,006001.000106,102
C,1,2s2.2p.(2P*<3/2>).5f,2[7/2],e,4,86469.66,,,,,,,,,,,006001.000107,103
C,1,2s2.2p.(2P*<3/2>).5f,2[5/2],e,3,86482.66,,,,,,,,,,,006001.000108,104
C,1,2s2.2p.(2P*<3/2>).5f,2[5/2],e,2,86482.78,,,,,,,,,,,006001.000109,105
C,1,2s2.2p.5d,1P*,o,1,86491.41,,,,,,,,,,,006001.000110,106
C,1,2s2.2p.(2P*<3/2>).5f,2[3/2],e,1,86498.55,,,,,,,,,,,006001.000111,107
C,1,2s2.2p.(2P*<3/2>).5f,2[3/2],e,2,86498.64,,,,,,,,,,,006001.000112,108
C,1,2s2.2p.5d,3P*,o,2,86506.70,,,,,,,,,,,006001.000113,109
C,1,2s2.2p.5d,3P*,o,1,86519.47,,,,,,,,,,,006001.000114,110
C,1,2s2.2p.5d,3P*,o,0,86523.16,,,,,,,,,,,006001.000115,111
C,1,2s2.2p.6p,1P,e,1,86912.86,,,,,,,,,,,006001.000116,112
C,1,2s2.2p.6p,3D,e,1,86956.16,,,,,,,,,,,006001.000117,113
C,1,2s2.2p.6p,3D,e,2,86965.45,,,,,,,,,,,006001.000118,114
C,1,2s2.2p.6p,3D,e,3,87002.26,,,,,,,,,,,006001.000119,115
C,1,2s2.2p.6p,3P,e,0,87077.36,,,,,,,,,,,006001.000120,116
C,1,2s2.2p.6p,3P,e,1,87103.12,,,,,,,,,,,006001.000121,117
C,1,2s2.2p.6p,3P,e,2,87113.21,,,,,,,,,,,006001.000122,118
C,1,2s2.2p.6p,1D,e,2,87218.26,,,,,,,,,,,006001.000123,119
C,1,2s2.2p.6p,1S,e,0,87341.04,,,,,,,,,,,006001.000124,120
C,1,2s2.2p.6d,1D*,o,2,87633.75,,,,,,,,,,,006001.000125,121
C,1,2s2.2p.6d,3F*,o,2,87708.21,,,,,,,,,,,006001.000126,122
C,1,2s2.2p.7s,3P*,o,0,87711.37,,,,,,,,,,,006001.000127,125
C,1,2s2.2p.6d,3F*,o,3,87713.38,,,,,,,,,,,006001.000128,123
C,1,2s2.2p.7s,3P*,o,1,87718.56,,,,,,,,,,,006001.000129,126
C,1,2s2.2p.6d,3D*,o,1,87735.30,,,,,,,,,,,006001.000130,128
C,1,2s2.2p.7s,3P*,o,2,87753.73,,,,,,,,,,,006001.000131,127
C,1,2s2.2p.6d,3F*,o,4,87760.61,,,,,,,,,,,006001.000132,124
C,1,2s2.2p.(2P*<1/2>).6f,2[7/2],e,4,87763.10,,,,,,,,,,,006001.000133,131
C,1,2s2.2p.(2P*<1/2>).6f,2[7/2],e,3,87763.24,,,,,,,,,,,006001.000134,132
C,1,2s2.2p.6d,3D*,o,2,87773.09,,,,,,,,,,,006001.000135,129
C,1,2s2.2p.6d,3D*,o,3,87777.17,,,,,,,,,,,006001.000136,130
C,1,2s2.2p.7s,1P*,o,1,87789.63,,,,,,,,,,,006001.000137,133
C,1,2s2.2p.6d,1F*,o,3,87806.93,,,,,,,,,,,006001.000138,134
C,1,2s2.2p.(2P*<3/2>).6f,2[5/2],e,3,87826.94,,,,,,,,,,,006001.000139,135
C,1,2s2.2p.(2P*<3/2>).6f,2[5/2],e,2,87827.02,,,,,,,,,,,006001.000140,136
C,1,2s2.2p.6d,1P*,o,1,87830.17,,,,,,,,,,,006001.000141,137
C,1,2s2.2p.6d,3P*,o,2,87832.54,,,,,,,,,,,006001.000142,138
C,1,2s2.2p.(2P*<3/2>).6f,2[3/2],e,1,87837.74,,,,,,,,,,,006001.000143,141
C,1,2s2.2p.(2P*<3/2>).6f,2[3/2],e,2,87837.74,,,,,,,,,,,006001.000144,141
C,1,2s2.2p.6d,3P*,o,1,87843.91,,,,,,,,,,,006001.000145,139
C,1,2s2.2p.6d,3P*,o,0,87846.9,],,,,,,,,,,006001.000146,140
C,1,2s2.2p.7p,1P,e,1,88061.28,,,,,,,,,,,006001.000147,142
C,1,2s2.2p.7p,3D,e,1,88092.01,,,,,,,,,,,006001.000148,143
C,1,2s2.2p.7p,3D,e,2,88096.03,,,,,,,,,,,006001.000149,144
C,1,2s2.2p.7p,3D,e,3,88135.81,,,,,,,,,,,006001.000150,145
C,1,2s2.2p.7p,3P,e,0,88159.87,,,,,,,,,,,006001.000151,146
C,1,2s2.2p.7p,3P,e,1,88192.30,,,,,,,,,,,006001.000152,147
C,1,2s2.2p.7p,3P,e,2,88198.22,,,,,,,,,,,006001.000153,148
C,1,2s2.2p.7p,1D,e,2,88260.37,,,,,,,,,,,006001.000154,149
C,1,2s2.2p.7p,1S,e,0,88333.98,,,,,,,,,,,006001.000155,150
C,1,2s2.2p.7d,1D*,o,2,88498.62,,,,,,,,,,,006001.000156,151
C,1,2s2.2p.7d,3F*,o,2,88541.4,],,,,,,,,,,006001.000157,152
C,1,2s2.2p.8s,3P*,o,0,88543.76,,,,,,,,,,,006001.000158,155
C,1,2s2.2p.7d,3F*,o,3,88544.9,],,,,,,,,,,006001.000159,153
C,1,2s2.2p.8s,3P*,o,1,88549.06,,,,,,,,,,,006001.000160,156
C,1,2s2.2p.7d,3D*,o,1,88558.6,],,,,,,,,,,006001.000161,158
C,1,2s2.2p.(2P*<1/2>).7f,2[5/2],e,2,88574.85,,,,,,,,,,,006001.000162,161
C,1,2s2.2p.8s,3P*,o,2,88584.26,,,,,,,,,,,006001.000163,157
C,1,2s2.2p.7d,3F*,o,4,88596.5,],,,,,,,,,,006001.000164,154
C,1,2s2.2p.7d,3D*,o,2,88604.75,,,,,,,,,,,006001.000165,159
C,1,2s2.2p.7d,3D*,o,3,88606.8,],,,,,,,,,,006001.000166,160
C,1,2s2.2p.8s,1P*,o,1,88615.01,,,,,,,,,,,006001.000167,162
C,1,2s2.2p.7d,1F*,o,3,88625.00,,,,,,,,,,,006001.000168,163
C,1,2s2.2p.(2P*<3/2>).7f,2[7/2],e,3,88633.98,,,,,,,,,,,006001.000169,164
C,1,2s2.2p.(2P*<3/2>).7f,2[7/2],e,4,88634.07,,,,,,,,,,,006001.000170,165
C,1,2s2.2p.7d,3P*,o,2,88636.8,],,,,,,,,,,006001.000171,166
C,1,2s2.2p.(2P*<3/2>).7f,2[5/2],e,3,88638.30,,,,,,,,,,,006001.000172,169
C,1,2s2.2p.7d,1P*,o,1,88639.02,,,,,,,,,,,006001.000173,170
C,1,2s2.2p.(2P*<3/2>).7f,2[3/2],e,2,88645.33,,,,,,,,,,,006001.000174,171
C,1,2s2.2p.7d,3P*,o,1,88646.6,],,,,,,,,,,006001.000175,167
C,1,2s2.2p.7d,3P*,o,0,88649.1,],,,,,,,,,,006001.000176,168
C,1,2s2.2p.8p,1P,e,1,88766.98,,,,,,,,,,,006001.000177,172
C,1,2s2.2p.8p,3D,e,1,88790.85,,,,,,,,,,,006001.000178,173
C,1,2s2.2p.8p,3D,e,2,88794.3,],,,,,,,,,,006001.000179,174
C,1,2s2.2p.8p,3D,e,3,88836.12,,,,,,,,,,,006001.000180,175
C,1,2s2.2p.8p,3P,e,2,88873.95,,,,,,,,,,,006001.000181,176
C,1,2s2.2p.8p,1D,e,2,88913.56,,,,,,,,,,,006001.000182,177
C,1,2s2.2p.8p,1S,e,0,88960.64,,,,,,,,,,,006001.000183,178
C,1,2s2.2p.8d,1D*,o,2,89054.16,,,,,,,,,,,006001.000184,179
C,1,2s2.2p.8d,3F*,o,2,89079.9,],,,,,,,,,,006001.000185,180
C,1,2s2.2p.9s,3P*,o,0,89081.62,,,,,,,,,,,006001.000186,183
C,1,2s2.2p.8d,3F*,o,3,89082.1,],,,,,,,,,,006001.000187,181
C,1,2s2.2p.9s,3P*,o,1,89085.41,,,,,,,,,,,006001.000188,184
C,1,2s2.2p.8d,3D*,o,1,89091.8,],,,,,,,,,,006001.000189,185
C,1,2s2.2p.(2P*<1/2>).8f,2[5/2],e,2,89101.76,,,,,,,,,,,006001.000190,188
C,1,2s2.2p.(2P*<1/2>).8f,2[5/2],e,3,89101.79,,,,,,,,,,,006001.000191,189
C,1,2s2.2p.8d,3F*,o,4,89136.9,],,,,,,,,,,006001.000192,182
C,1,2s2.2p.8d,3D*,o,2,89142.66,,,,,,,,,,,006001.000193,186
C,1,2s2.2p.8d,3D*,o,3,89143.4,],,,,,,,,,,006001.000194,187
C,1,2s2.2p.9s,1P*,o,1,89149.35,,,,,,,,,,,006001.000195,190
C,1,2s2.2p.8d,1F*,o,3,89155.70,,,,,,,,,,,006001.000196,191
C,1,2s2.2p.(2P*<3/2>).8f,2[7/2],e,4,89162.10,,,,,,,,,,,006001.000197,192
C,1,2s2.2p.8d,3P*,o,2,89162.2,],,,,,,,,,,006001.000198,196
C,1,2s2.2p.8d,1P*,o,1,89164.74,,,,,,,,,,,006001.000199,193
C,1,2s2.2p.8d,3P*,o,1,89170.0,],,,,,,,,,,006001.000200,195
C,1,2s2.2p.8d,3P*,o,0,89171.5,],,,,,,,,,,006001.000201,194
