el,sc,conf,term,parity,j_val,energy,suffix,unc,perc,conf1,term1,perc2,conf2,term2,lande_g,bibref,level_id,seq_no
N,2,2s2.2p.4d,3F*,o,2,209673.65,,,,,,,,,,,007002.000073,59
N,2,2s2.2p.4d,3F*,o,3,209737.97,,,,,,,,,,,007002.000074,60
N,2,2s2.2p.4d,3F*,o,4,209823.91,,,,,,,,,,,007002.000075,61
N,2,2s2.2p.4d,1D*,o,2,209925.76,,,,,,,,,,,007002.000076,62
N,2,2s2.2p.4d,3D*,o,1,210239.83,,,,,,,,,,,007002.000077,63
N,2,2s2.2p.4d,3D*,o,2,210266.04,,,,,,,,,,,007002.000078,64
N,2,2s2.2p.4d,3D*,o,3,210301.68,,,,,,,,,,,007002.000079,65
N,2,2s2.2p.4d,3P*,o,2,210705.26,,,,,,,,,,,007002.000080,66
N,2,2s2.2p.4d,3P*,o,1,210751.43,,,,,,,,,,,007002.000081,67
N,2,2s2.2p.4d,3P*,o,0,210776.45,,,,,,,,,,,007002.000082,68
N,2,2s2.2p.(2P*<1/2>).4f,2[5/2],e,3,211030.07,,,,,,,,,,,007002.000083,69
N,2,2s2.2p.(2P*<1/2>).4f,2[5/2],e,2,211032.93,,,,,,,,,,,007002.000084,70
N,2,2s2.2p.(2P*<1/2>).4f,2[7/2],e,3,211056.26,,,,,,,,,,,007002.000085,71
N,2,2s2.2p.(2P*<1/2>).4f,2[7/2],e,4,211060.24,,,,,,,,,,,007002.000086,72
N,2,2s2.2p.4d,1F*,o,3,211103.63,,,,,,,,,,,007002.000087,73
N,2,2s2.2p.(2P*<3/2>).4f,2[7/2],e,3,211287.23,,,,,,,,,,,007002.000088,74
N,2,2s2.2p.(2P*<3/2>).4f,2[7/2],e,4,211294.85,,,,,,,,,,,007002.000089,75
N,2,2s2.2p.4d,1P*,o,1,211336.16,,,,,,,,,,,007002.000090,76
N,2,2s2.2p.(2P*<3/2>).4f,2[9/2],e,5,211389.95,,,,,,,,,,,007002.000091,77
N,2,2s2.2p.(2P*<3/2>).4f,2[9/2],e,4,211402.03,,,,,,,,,,,007002.000092,78
N,2,2s2.2p.(2P*<3/2>).4f,2[5/2],e,3,211410.47,,,,,,,,,,,007002.000093,79
N,2,2s2.2p.(2P*<3/2>).4f,2[5/2],e,2,211415.16,,,,,,,,,,,007002.000094,80
N,2,2s2.2p.(2P*<3/2>).4f,2[3/2],e,1,211486.58,,,,,,,,,,,007002.000095,81
N,2,2s2.2p.(2P*<3/2>).4f,2[3/2],e,2,211490.30,,,,,,,,,,,007002.000096,82
N,2,2s.2p2.(4P).3s,3P,e,0,211749.35,,,,,,,,,,,007002.000097,83
N,2,2s.2p2.(4P).3s,3P,e,1,211779.45,,,,,,,,,,,007002.000098,84
N,2,2s.2p2.(4P).3s,3P,e,2,211827.67,,,,,,,,,,,007002.000099,85
N,2,2s2.2p.5s,3P*,o,0,214211.96,,,,,,,,,,,007002.000100,86
N,2,2s2.2p.5s,3P*,o,1,214257.69,,,,,,,,,,,007002.000101,87
N,2,2s2.2p.5s,3P*,o,2,214384.13,,,,,,,,,,,007002.000102,88
N,2,2s2.2p.5s,1P*,o,1,214829.18,,,,,,,,,,,007002.000103,89
N,2,2p4,3P,e,2,220290,,,,,,,,,,,007002.000104,90
N,2,2p4,3P,e,1,220300,,,,,,,,,,,007002.000105,91
N,2,2p4,3P,e,0,220310,,,,,,,,,,,007002.000106,92
N,2,2s2.2p.5d,1D*,o,2,220495.36,,,,,,,,,,,007002.000107,93
N,2,2s2.2p.5d,3D*,o,2,220674,,,,,,,,,,,007002.000108,95
N,2,2s2.2p.5d,3D*,o,3,220716,,,,,,,,,,,007002.000109,96
N,2,2s2.2p.(2P*<1/2>).5f,2[5/2],e,3,221054.50,,,,,,,,,,,007002.000110,97
N,2,2s2.2p.(2P*<1/2>).5f,2[5/2],e,2,221057.01,,,,,,,,,,,007002.000111,98
N,2,2s2.2p.(2P*<1/2>).5f,2[7/2],e,3,221069.22,,,,,,,,,,,007002.000112,99
N,2,2s2.2p.(2P*<1/2>).5f,2[7/2],e,4,221073.35,,,,,,,,,,,007002.000113,100
N,2,2s2.2p.5d,1F*,o,3,221141.61,,,,,,,,,,,007002.000114,101
N,2,2s2.2p.(2P*<1/2>).5g,2[7/2]*,o,3,221163.71,,,,,,,,,,,007002.000115,102
N,2,2s2.2p.(2P*<1/2>).5g,2[7/2]*,o,4,221163.71,,,,,,,,,,,007002.000116,102
N,2,2s2.2p.(2P*<1/2>).5g,2[9/2]*,o,4,221167.38,,,,,,,,,,,007002.000117,103
N,2,2s2.2p.(2P*<1/2>).5g,2[9/2]*,o,5,221167.57,,,,,,,,,,,007002.000118,104
N,2,2s2.2p.(2P*<3/2>).5f,2[7/2],e,3,221226.65,,,,,,,,,,,007002.000119,105
N,2,2s2.2p.(2P*<3/2>).5f,2[7/2],e,4,221231.92,,,,,,,,,,,007002.000120,106
N,2,2s2.2p.5d,1P*,o,1,221246.17,,,,,,,,,,,007002.000121,107
N,2,2s2.2p.(2P*<3/2>).5f,2[5/2],e,3,221292.31,,,,,,,,,,,007002.000122,108
N,2,2s2.2p.(2P*<3/2>).5f,2[5/2],e,2,221296.24,,,,,,,,,,,007002.000123,109
N,2,2s2.2p.(2P*<3/2>).5f,2[9/2],e,5,221301.10,,,,,,,,,,,007002.000124,110
N,2,2s2.2p.(2P*<3/2>).5f,2[9/2],e,4,221311.11,,,,,,,,,,,007002.000125,111
